,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
216,p. e.  escurrillo,WRI1006725,49.5,42.2142,-2.1649,wind,227.0933407894944,La Rioja,La Rioja,22.0,4.1518,490.0,47.75,2.46,6.9
217,p. e.  la carracha,WRI1006730,49.5,41.5801,-1.1172,wind,227.0933407894944,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
218,p. e.  la gamoneda (ampliada con re-1814),WRI1006731,19.8,42.0357,-6.9054,wind,90.83733631579778,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
219,p. e.  las lomillas,WRI1006732,49.5,39.5,-2.1667,wind,227.0933407894944,Cuenca,Castilla-La Mancha,11.0,2.96248,344.217,24.3187,0.05710169999999999,4.45545
220,p. e.  manzanal,WRI1006733,33.75,42.0286,-2.231,wind,154.83636872010985,Soria,Castilla y León,22.0,4.1518,490.0,47.75,2.46,6.9
221,p. e.  monte seixo-cando,WRI1006734,34.98,42.4,-8.4333,wind,160.47929415790938,Pontevedra,Galicia,22.0,19.0,105.0,47.0,1.075,5.13333
222,p. e.  nerea,WRI1006735,39.75,43.6604,-8.0572,wind,182.3628342703516,A Coruña,Galicia,33.0,0.549629,370.085,48.9056,1.71177,5.41937
223,p. e.  os corvos y  coucepenido,WRI1023526,33.0,43.6907,-7.957999999999998,wind,151.39556052632963,A Coruña,Galicia,33.0,0.12154100000000001,342.548,57.9357,0.41536999999999996,3.9681300000000004
224,p. e.  paxareiras- montevos (paxareiras i y ii a),WRI1006737,39.6,42.8233,-9.0891,wind,181.6746726315956,A Coruña,Galicia,24.0,18.0,110.0,52.0,1.0,6.0
225,p. e.  planas de pola,WRI1006738,35.64,41.918,-1.2534,wind,163.50720536843602,Zaragoza,Aragón,10.0,4.01,196.667,16.7675,3.975,32.122
226,p. e. ampliacion a la gamoneda (ampl. re-2623),WRI1006747,29.75,42.0357,-6.9054,wind,136.48539168661534,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
227,p. e. ampliacion puerto de malaga,WRI1006748,12.85,37.5251,-7.4925,wind,58.95251372010108,Huelva,Andalucía,33.0,0.00735472,335.455,70.2739,0.235857,2.80072
228,p. e. ampliacion serra da loba (pena revolta),WRI1006749,10.0,43.3333,-8.0167,wind,45.87744258373625,A Coruña,Galicia,33.0,0.549629,370.085,48.9056,1.71177,5.41937
229,p. e. boqueron unificado,WRI1006753,49.5,41.8341,-1.5327,wind,227.0933407894944,Zaragoza,Aragón,24.0,3.11571,375.0,51.0,1.0,8.3
230,p. e. callejas,WRI1006755,49.5,39.6,-1.8,wind,227.0933407894944,Cuenca,Castilla-La Mancha,4.0,1.0,351.727,4.0,3.0,21.0
231,p. e. campalbo,WRI1006756,49.3,39.9,-1.2667,wind,226.17579193781967,Cuenca,Castilla-La Mancha,37.0,11.0,333.786,15.6667,3.5,18.0
232,p. e. carcelen,WRI1006759,49.6,38.9505,-2.5405,wind,227.55211521533184,Albacete,Castilla-La Mancha,24.0,4.4812,330.44800000000004,52.7501,0.17136300000000002,2.77394
233,p. e. castilfrio,WRI1023527,24.75,41.9461,-2.2822,wind,113.5466703947472,Soria,Castilla y León,22.0,4.1518,330.0,46.6667,2.825,6.433330000000001
234,p. e. cerro de la punta,WRI1006763,24.42,39.8667,-1.2167,wind,112.03271478948393,Cuenca,Castilla-La Mancha,37.0,11.0,333.786,15.6667,3.5,18.0
235,p. e. cerro del palo,WRI1006764,49.5,39.5,-2.1667,wind,227.0933407894944,Cuenca,Castilla-La Mancha,11.0,2.96248,344.217,24.3187,0.05710169999999999,4.45545
236,p. e. cerro vicente,WRI1006766,68.85,38.9209,-1.7202,wind,315.86619218902405,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
237,p. e. cinseiro,WRI1006769,12.0,42.0357,-6.9054,wind,55.052931100483505,Zamora,Castilla y León,30.0,11.0,100.0,65.7141,0.522472,2.46335
238,p. e. clares,WRI1006770,32.0,41.0337,-2.1434,wind,146.807816267956,Guadalajara,Castilla-La Mancha,32.0,4.5189699999999995,321.686,69.8268,0.28684699999999996,1.39768
239,p. e. cortijo de guerra i,WRI1006772,40.8,36.6865,-6.1361,wind,187.17996574164383,Cádiz,Andalucía,44.0,21.0678,378.01300000000003,19.6472,5.0,32.3877
240,p. e. cuesta colorada,WRI1006774,49.5,39.4085,-2.2017,wind,227.0933407894944,Cuenca,Castilla-La Mancha,11.0,2.96248,344.217,24.3187,0.05710169999999999,4.45545
241,p. e. cuesta manera,WRI1006775,49.5,41.9161,-4.7803,wind,227.0933407894944,Palencia,Castilla y León,29.0,8.0,600.0,26.5,3.0,22.8333
242,p. e. de higueruela,WRI1006778,37.6,39.8667,-1.2167,wind,172.49918411484833,Cuenca,Castilla-La Mancha,37.0,11.0,333.786,15.6667,3.5,18.0
